,0
0,"Abbeville County, South Carolina"
1,"Acadia Parish, Louisiana"
2,"Accomack County, Virginia"
3,"Ada County, Idaho"
4,"Adair County, Iowa"
5,"Adair County, Kentucky"
6,"Adair County, Missouri"
7,"Adams County, Colorado"
8,"Adams County, Illinois"
9,"Adams County, Indiana"
10,"Adams County, Mississippi"
11,"Adams County, Nebraska"
12,"Adams County, Ohio"
13,"Adams County, Pennsylvania"
14,"Adams County, Washington"
15,"Adams County, Wisconsin"
16,"Addison County, Vermont"
17,"Aiken County, South Carolina"
18,"Alachua County, Florida"
19,"Alamance County, North Carolina"
20,"Alameda County, California"
21,"Alamosa County, Colorado"
22,"Albany County, New York"
23,"Albany County, Wyoming"
24,"Albemarle County, Virginia"
25,"Alcorn County, Mississippi"
26,"Alexander County, North Carolina"
27,"Allegan County, Michigan"
28,"Allegany County, Maryland"
29,"Allegany County, New York"
30,"Allegheny County, Pennsylvania"
31,"Allen County, Indiana"
32,"Allen County, Kentucky"
33,"Allen County, Ohio"
34,"Allen Parish, Louisiana"
35,"Alpena County, Michigan"
36,"Amador County, California"
37,"Amelia County, Virginia"
38,"Amherst County, Virginia"
39,"Anderson County, Kentucky"
40,"Anderson County, South Carolina"
41,"Anderson County, Tennessee"
42,"Anderson County, Texas"
43,"Andrew County, Missouri"
44,"Andrews County, Texas"
45,"Androscoggin County, Maine"
46,"Angelina County, Texas"
47,"Anne Arundel County, Maryland"
48,"Anoka County, Minnesota"
49,"Anson County, North Carolina"
50,"Antrim County, Michigan"
51,"Apache County, Arizona"
52,"Appling County, Georgia"
53,"Aransas County, Texas"
54,"Arapahoe County, Colorado"
55,"Archuleta County, Colorado"
56,"Arkansas County, Arkansas"
57,"Arlington County, Virginia"
58,"Armstrong County, Pennsylvania"
59,"Aroostook County, Maine"
60,"Ascension Parish, Louisiana"
61,"Ashe County, North Carolina"
62,"Ashland County, Ohio"
63,"Ashley County, Arkansas"
64,"Ashtabula County, Ohio"
65,"Assumption Parish, Louisiana"
66,"Atascosa County, Texas"
67,"Atchison County, Kansas"
68,"Athens County, Ohio"
69,"Atlantic County, New Jersey"
70,"Atoka County, Oklahoma"
71,"Attala County, Mississippi"
72,"Audrain County, Missouri"
73,"Auglaize County, Ohio"
74,"Augusta County, Virginia"
75,"Austin County, Texas"
76,"Autauga County, Alabama"
77,"Avery County, North Carolina"
78,"Avoyelles Parish, Louisiana"
79,"Baker County, Florida"
80,"Baldwin County, Alabama"
81,"Baldwin County, Georgia"
82,"Baltimore County, Maryland"
83,"Bandera County, Texas"
84,"Banks County, Georgia"
85,"Bannock County, Idaho"
86,"Barbour County, Alabama"
87,"Barnstable County, Massachusetts"
88,"Barnwell County, South Carolina"
89,"Barren County, Kentucky"
90,"Barron County, Wisconsin"
91,"Barrow County, Georgia"
92,"Barry County, Michigan"
93,"Barry County, Missouri"
94,"Bartholomew County, Indiana"
95,"Barton County, Kansas"
96,"Bartow County, Georgia"
97,"Bastrop County, Texas"
98,"Bates County, Missouri"
99,"Baxter County, Arkansas"
100,"Bay County, Florida"
101,"Bay County, Michigan"
102,"Beaufort County, North Carolina"
103,"Beaufort County, South Carolina"
104,"Beauregard Parish, Louisiana"
105,"Beaver County, Pennsylvania"
106,"Beaverhead County, Montana"
107,"Becker County, Minnesota"
108,"Beckham County, Oklahoma"
109,"Bedford County, Pennsylvania"
110,"Bedford County, Tennessee"
111,"Bedford County, Virginia"
112,"Bee County, Texas"
113,"Belknap County, New Hampshire"
114,"Bell County, Kentucky"
115,"Bell County, Texas"
116,"Belmont County, Ohio"
117,"Beltrami County, Minnesota"
118,"Bennington County, Vermont"
119,"Benton County, Arkansas"
120,"Benton County, Iowa"
121,"Benton County, Minnesota"
122,"Benton County, Oregon"
123,"Benton County, Tennessee"
124,"Benton County, Washington"
125,"Benzie County, Michigan"
126,"Bergen County, New Jersey"
127,"Berkeley County, South Carolina"
128,"Berkeley County, West Virginia"
129,"Berks County, Pennsylvania"
130,"Berkshire County, Massachusetts"
131,"Bernalillo County, New Mexico"
132,"Berrien County, Michigan"
133,"Bexar County, Texas"
134,"Bibb County, Alabama"
135,"Bibb County, Georgia"
136,"Bienville Parish, Louisiana"
137,"Bingham County, Idaho"
138,"Black Hawk County, Iowa"
139,"Bladen County, North Carolina"
140,"Blaine County, Idaho"
141,"Blaine County, Oklahoma"
142,"Blair County, Pennsylvania"
143,"Blanco County, Texas"
144,"Blount County, Alabama"
145,"Blount County, Tennessee"
146,"Blue Earth County, Minnesota"
147,"Bolivar County, Mississippi"
148,"Bond County, Illinois"
149,"Bonner County, Idaho"
150,"Bonneville County, Idaho"
151,"Boone County, Arkansas"
152,"Boone County, Illinois"
153,"Boone County, Indiana"
154,"Boone County, Iowa"
155,"Boone County, Kentucky"
156,"Boone County, Missouri"
157,"Bosque County, Texas"
158,"Bossier Parish, Louisiana"
159,"Botetourt County, Virginia"
160,"Boulder County, Colorado"
161,"Bourbon County, Kansas"
162,"Bourbon County, Kentucky"
163,"Bowie County, Texas"
164,"Box Elder County, Utah"
165,"Boyd County, Kentucky"
166,"Boyle County, Kentucky"
167,"Bradford County, Florida"
168,"Bradford County, Pennsylvania"
169,"Bradley County, Tennessee"
170,"Branch County, Michigan"
171,"Braxton County, West Virginia"
172,"Brazoria County, Texas"
173,"Brazos County, Texas"
174,"Bremer County, Iowa"
175,"Brevard County, Florida"
176,"Brewster County, Texas"
177,"Bristol County, Massachusetts"
178,"Bristol County, Rhode Island"
179,"Bronx County, New York"
180,"Brooke County, West Virginia"
181,"Brookings County, South Dakota"
182,"Brooks County, Georgia"
183,"Brooks County, Texas"
184,"Broome County, New York"
185,"Broomfield County, Colorado"
186,"Broward County, Florida"
187,"Brown County, Indiana"
188,"Brown County, Minnesota"
189,"Brown County, Ohio"
190,"Brown County, South Dakota"
191,"Brown County, Texas"
192,"Brown County, Wisconsin"
193,"Brunswick County, North Carolina"
194,"Brunswick County, Virginia"
195,"Bryan County, Georgia"
196,"Bryan County, Oklahoma"
197,"Buchanan County, Iowa"
198,"Buchanan County, Missouri"
199,"Bucks County, Pennsylvania"
200,"Buena Vista County, Iowa"
201,"Buffalo County, Nebraska"
202,"Bullitt County, Kentucky"
203,"Bulloch County, Georgia"
204,"Buncombe County, North Carolina"
205,"Bureau County, Illinois"
206,"Burke County, Georgia"
207,"Burke County, North Carolina"
208,"Burleigh County, North Dakota"
209,"Burleson County, Texas"
210,"Burlington County, New Jersey"
211,"Burnet County, Texas"
212,"Butler County, Alabama"
213,"Butler County, Kansas"
214,"Butler County, Missouri"
215,"Butler County, Ohio"
216,"Butler County, Pennsylvania"
217,"Butte County, California"
218,"Butts County, Georgia"
219,"Cabarrus County, North Carolina"
